Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
1,Mahindra,Thar,2017,Petrol,Automatic,1337112.4,13.3,2184,4,6159.34
2,Kia,Carens,2016,Petrol,Manual,1219449.07,16.7,1497,7,6374.85
3,Toyota,Glanza,2021,Diesel,Automatic,855765.85,20.6,1197,5,3417.98
4,Renault,Triber,2015,Diesel,Automatic,740276.81,17.2,999,7,3815.37
5,Honda,WR-V,2021,Petrol,Automatic,1004799.53,20.8,1199,5,3484.35
6,Hyundai,i10,2017,Diesel,Manual,737467.46,20.5,998,5,3028.25
7,Skoda,Slavia,2022,Petrol,Automatic,1111928.31,18.4,1498,5,6256.89
8,Skoda,Octavia,2022,Diesel,Automatic,2891280.91,14.2,1968,5,8099.24
9,Honda,City,2015,Petrol,Manual,1459701.08,17.1,1498,5,4527.77
10,Toyota,Glanza,2015,Petrol,Automatic,890839.57,19.6,1197,5,2832.16
11,Maruti Suzuki,Swift,2022,Diesel,Manual,889915.09,22.3,1197,5,3358.31
12,Maruti Suzuki,Dzire,2021,Diesel,Manual,773511.82,21.3,1197,5,4633.83
13,Maruti Suzuki,Baleno,2019,Petrol,Automatic,1074185.34,20.8,1197,5,3776.43
14,Volkswagen,Polo,2017,Petrol,Manual,975847.44,19.7,999,5,4301.16
15,Skoda,Slavia,2016,Petrol,Manual,1217624.15,18.3,1498,5,5653.03
16,Volkswagen,Vento,2016,Diesel,Manual,1023803.07,17.0,1598,5,4162.01
17,Kia,Carnival,2021,Diesel,Manual,3226486.43,13.2,2199,7,8815.6
18,Toyota,Urban Cruiser,2019,Diesel,Manual,1150524.57,17.1,1462,5,2864.55
19,Toyota,Fortuner,2020,Diesel,Manual,4885787.38,14.3,2755,7,10703.2
20,Honda,Jazz,2024,Diesel,Manual,779815.21,16.7,1199,5,3533.29
21,Toyota,Glanza,2022,CNG,Manual,866082.68,19.7,1197,5,3081.76
22,Mahindra,Thar,2019,Petrol,Manual,1583691.08,14.2,2184,4,7457.68
23,Tata Motors,Altroz,2020,Petrol,Automatic,857381.49,18.7,1199,5,4274.23
24,Toyota,Glanza,2018,Petrol,Manual,700623.96,20.6,1197,5,3204.68
25,Mahindra,Bolero,2024,Petrol,Automatic,928154.42,16.6,1493,7,5805.41
26,Toyota,Innova Crysta,2022,Petrol,Manual,2294799.76,14.7,2393,7,8294.19
27,Renault,Duster,2024,Diesel,Automatic,1134444.07,15.7,1461,5,4150.08
28,Honda,Civic,2021,Petrol,Automatic,2131885.02,16.6,1799,5,5973.38
29,Tata Motors,Harrier,2018,Diesel,Automatic,1847418.22,17.1,2184,7,8160.03
30,Mahindra,XUV700,2015,Petrol,Automatic,1745845.32,15.8,1997,5,7921.54
31,Tata Motors,Tiago,2021,Petrol,Automatic,625685.29,22.9,1199,5,2599.86
32,Kia,EV6,2023,Diesel,Automatic,6459434.52,523.9,2397,5,13570.65
33,Honda,Amaze,2022,Petrol,Manual,729562.52,21.6,1199,5,3417.68
34,Maruti Suzuki,WagonR,2021,Diesel,Automatic,570819.81,21.4,998,5,2598.04
35,Maruti Suzuki,Dzire,2018,Diesel,Automatic,737166.59,20.5,1197,5,4197.64
36,Renault,Lodgy,2016,Diesel,Automatic,1111383.23,21.7,1461,7,4316.31
37,Skoda,Slavia,2017,Diesel,Manual,1442927.55,17.4,1498,5,6108.01
38,Volkswagen,Taigun,2023,Petrol,Automatic,1100004.87,17.7,1498,5,7087.8
39,Kia,EV6,2020,Petrol,Manual,6188232.86,513.8,2397,5,12982.91
40,Kia,EV6,2016,Petrol,Automatic,6089581.04,505.1,2397,5,9935.34
41,Hyundai,Verna,2018,Petrol,Automatic,1063930.59,17.4,1497,5,5679.66
42,Honda,Amaze,2017,Electric,Automatic,948889.27,19.2,1199,5,3516.89
43,Tata Motors,Nexon,2018,CNG,Manual,954914.42,20.6,1497,5,5071.5
44,Renault,Lodgy,2020,Diesel,Automatic,939348.5,22.6,1461,7,4606.25
45,Hyundai,Creta,2021,Diesel,Manual,1430580.5,18.2,1497,5,6253.84
46,Toyota,Urban Cruiser,2015,Petrol,Manual,946542.41,19.3,1462,5,3492.67
47,Skoda,Kushaq,2018,Petrol,Manual,1702939.8,17.4,1498,5,6412.6
48,Volkswagen,Vento,2016,Petrol,Manual,1087542.48,17.4,1598,5,5200.3
49,Kia,EV6,2018,Petrol,Manual,6171096.2,511.9,2397,5,13534.93
50,Mahindra,Scorpio-N,2024,Diesel,Manual,2305126.27,15.5,2184,7,8766.01
51,Toyota,Urban Cruiser,2015,Petrol,Automatic,996734.47,18.0,1462,5,3095.15
52,Volkswagen,Polo,2017,Petrol,Automatic,1138584.91,19.4,999,5,5143.71
53,Kia,Sonet,2019,Petrol,Manual,1182322.54,19.5,998,5,3882.46
54,Tata Motors,Nexon,2017,CNG,Manual,1014947.41,19.0,1497,5,5620.9
55,Toyota,Fortuner,2015,Petrol,Automatic,4748468.56,13.3,2755,7,12338.42
56,Honda,Amaze,2018,Diesel,Manual,813729.05,20.6,1199,5,3782.56
57,Toyota,Glanza,2018,Diesel,Manual,897949.56,20.4,1197,5,4105.63
58,Renault,Triber,2024,Petrol,Automatic,875449.32,17.4,999,7,3437.45
59,Mahindra,Scorpio-N,2021,Petrol,Manual,1858357.35,15.0,2184,7,8102.37
60,Skoda,Octavia,2017,Petrol,Automatic,2862664.73,15.8,1968,5,11009.48
61,Kia,Carens,2023,Diesel,Manual,1404580.28,18.0,1497,7,5747.4
62,Toyota,Fortuner,2019,Diesel,Automatic,3852699.66,13.4,2755,7,11889.22
63,Toyota,Fortuner,2017,Diesel,Automatic,3525352.09,12.1,2755,7,13448.49
64,Mahindra,Thar,2017,Diesel,Automatic,1377176.8,14.5,2184,4,7501.67
